"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 21 20:33:39 CET 2022","Mon Nov 21 20:33:39 CET 2022","524","Tests.Unit","test_trainings_trainings_units","Test_Nav_Trainings_Trainings","","","test_btn_soft_skill_trainings_exists[Chrome]",""
"passed","Mon Nov 21 20:32:08 CET 2022","Mon Nov 21 20:32:13 CET 2022","4258","Tests.Navigation","test_nav_e_learning","Test_Nav_E_Learning","","","test_nav_to_e_learning_owndev[Chrome]",""
"passed","Mon Nov 21 20:33:20 CET 2022","Mon Nov 21 20:33:20 CET 2022","312","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_car_start_p_exists[Chrome]",""
"passed","Mon Nov 21 20:32:49 CET 2022","Mon Nov 21 20:32:50 CET 2022","1101","Tests.Navigation","test_nav_trainings_trainings","Test_Nav_Trainings_Trainings","","","test_nav_to_trainings_open_trainings_schedule[Chrome]",""
"passed","Mon Nov 21 20:33:20 CET 2022","Mon Nov 21 20:33:20 CET 2022","35","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_car_fy_jun_dev_exists[Chrome]",""
"passed","Mon Nov 21 20:32:28 CET 2022","Mon Nov 21 20:32:30 CET 2022","2183","Tests.Navigation","test_nav_mainpage_navbar","Test_Nav_MainPage_Navbar","","","test_nav_to_contacts[Chrome]",""
"passed","Mon Nov 21 20:33:39 CET 2022","Mon Nov 21 20:33:41 CET 2022","1219","Tests.Unit","test_trainings_trainings_units","Test_Nav_Trainings_Trainings","","","test_btn_projectmanagement_exists[Chrome]",""
"passed","Mon Nov 21 20:33:19 CET 2022","Mon Nov 21 20:33:20 CET 2022","320","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_comp_man_exists[Chrome]",""
"passed","Mon Nov 21 20:33:18 CET 2022","Mon Nov 21 20:33:18 CET 2022","39","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_admin_exists[Chrome]",""
"passed","Mon Nov 21 20:33:41 CET 2022","Mon Nov 21 20:33:43 CET 2022","1408","Tests.Unit","test_trainings_trainings_units","Test_Nav_Trainings_Trainings","","","test_btn_trainings_catalogue_exists[Chrome]",""
"passed","Mon Nov 21 20:32:01 CET 2022","Mon Nov 21 20:32:02 CET 2022","728","Tests.Functional","test_login","Test_login","","","test_log_empty_inputs[Chrome]",""
"passed","Mon Nov 21 20:32:58 CET 2022","Mon Nov 21 20:32:59 CET 2022","684","Tests.Unit","test_e_learning_units","Test_Nav_E_Learning","","","test_hyper_link_unique_exists[Chrome]",""
"passed","Mon Nov 21 20:32:50 CET 2022","Mon Nov 21 20:32:52 CET 2022","1602","Tests.Navigation","test_nav_trainings_trainings","Test_Nav_Trainings_Trainings","","","test_nav_to_trainings_catalogue[Chrome]",""
"passed","Mon Nov 21 20:33:18 CET 2022","Mon Nov 21 20:33:19 CET 2022","35","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_dev_aws_exists[Chrome]",""
"passed","Mon Nov 21 20:32:27 CET 2022","Mon Nov 21 20:32:28 CET 2022","1469","Tests.Navigation","test_nav_mainpage_navbar","Test_Nav_MainPage_Navbar","","","test_nav_to_discounts[Chrome]",""
